idx, removed feature, AUC-training, AUC-validation, percent change AUC-train, percent change AUC-valid
167, PREMPHRS,0.809,0.7625,0.008,0.1761
232, PENLFJH,0.8029,0.7626,-0.7459,0.1774
323, PXERNHRY,0.8074,0.7626,-0.1918,0.1774
256, PXRRP,0.8094,0.7626,0.0483,0.1794
81, PEABSRSN,0.8093,0.7626,0.0451,0.1796
284, PXHRACT2,0.8079,0.7626,-0.1354,0.183
142, PELKLWO,0.8092,0.7626,0.0343,0.1834
136, PULKPS5,0.8083,0.7626,-0.0778,0.1845
114, PELAYDUR,0.8094,0.7626,0.0543,0.1889
281, PXHRRSN1,0.8026,0.7627,-0.7865,0.1976
28, HUBUSL4,0.8001,0.7627,-1.1013,0.1982
322, PXERNRT,0.8048,0.7627,-0.5198,0.2011
204, PREMP,0.8094,0.7627,0.0488,0.2015
301, PXDWLKO,0.7977,0.7628,-1.3871,0.2043
160, PEJHRSN,0.8048,0.7628,-0.5109,0.2047
376, PXDISEAR,0.7965,0.7628,-1.5458,0.2057
170, PRFTLF,0.7991,0.7628,-1.2196,0.2078
194, PRAGNA,0.8092,0.7628,0.0326,0.2089
0, id,0.8086,0.7628,-0.0396,0.2097
106, PUHRCK6,0.8076,0.7628,-0.1705,0.2107
313, PXIO2COW,0.8084,0.7629,-0.0678,0.2166
96, PUHROT2,0.8021,0.7629,-0.8427,0.2205
250, HXTENURE,0.8095,0.7629,0.0697,0.2209
224, PRERNWA,0.808,0.7629,-0.1221,0.2267
257, PXPARENT,0.8097,0.7629,0.0961,0.229
135, PULKPS4,0.8101,0.763,0.1392,0.236
123, PULKM4,0.803,0.7631,-0.7406,0.2503
39, PERRP,0.8091,0.7631,0.0189,0.2544
294, PXLKLL1O,0.81,0.7632,0.1234,0.2615
274, PXMJOT,0.8058,0.7632,-0.3856,0.2617
163, PUJHCK2,0.8008,0.7632,-1.0144,0.264
369, PEDISEAR,0.8084,0.7632,-0.0631,0.2658
66, PEMLR,0.799,0.7632,-1.2305,0.268
93, PUHROFF1,0.7957,0.7633,-1.6418,0.2715
87, PEHRFTPT,0.8079,0.7633,-0.1304,0.2741
231, PEERNCOV,0.8054,0.7633,-0.4345,0.2761
184, PUIODP2,0.7993,0.7633,-1.1942,0.278
306, PXDWAVR,0.8081,0.7633,-0.1107,0.2798
251, HXHOUSUT,0.8103,0.7634,0.1595,0.2835
261, PXSEX,0.8073,0.7634,-0.2009,0.2838
299, PXDWWNTO,0.809,0.7634,0.0035,0.2874
334, OCCURNUM,0.8093,0.7634,0.0471,0.2897
3, HURESPLI,0.798,0.7634,-1.3493,0.2945
126, PULKDK1,0.7994,0.7635,-1.1802,0.2965
27, HUBUSL3,0.8092,0.7635,0.033,0.2975
56, PEHSPNON,0.8043,0.7635,-0.57,0.3038
201, PRDTIND2,0.8102,0.7635,0.1493,0.3058
80, PULAY,0.8086,0.7636,-0.0462,0.3126
182, PUJHCK5,0.8004,0.7636,-1.064,0.3142
69, PUBUS2OT,0.8101,0.7636,0.1423,0.3186
9, HETELAVL,0.7992,0.7636,-1.2107,0.3196
32, GTCBSA,0.8018,0.7637,-0.8845,0.3259
179, PRWNTJOB,0.8017,0.7637,-0.8938,0.327
130, PULKDK5,0.807,0.7637,-0.2412,0.3272
241, PWFMWGT,0.8043,0.7637,-0.5751,0.329
254, HXPHONEO,0.8051,0.7638,-0.4774,0.3394
19, HRMIS,0.8092,0.7638,0.0247,0.3404
305, PXDWAVL,0.8046,0.764,-0.5335,0.3608
79, PUABSOT,0.808,0.764,-0.1199,0.3634
331, PXSCHFT,0.7999,0.764,-1.1146,0.3696
89, PEHRWANT,0.809,0.7641,0.0091,0.3808
